id,english,chinese
1,"24-7","连续发生地"
2,"a","（指初次提及或非特指的人或物）一（个）"
3,"a","英语字母表的第1个字母"
4,"aah",""
5,"ab","（某些美国大学中）同BA"
6,"aback","吃惊"
7,"abacus","算盘"
8,"abalone","鲍"
9,"abandon","离弃"
10,"abandoned","(场所或建筑物)舍弃不用的"
11,"abandonment","离弃"
12,"abashed","尴尬的"
13,"abate","减弱"
14,"abatement","减弱"
15,"abattoir","屠宰场"
16,"abbess","女修道院院长"
17,"abbey","（大）修道院"
18,"abbot","男修道院院长"
19,"abbreviate","缩写"
20,"abbreviation","缩写词"
21,"abc","（学科等的）基础知识"
22,"abdicate","退位"
23,"abdomen","腹（部）"
24,"abdominal","腹（部）的"
25,"abdominals","腹肌"
26,"abduct","诱拐"
27,"aberrant","异常的"
28,"aberration","偶发事件"
29,"abet","教唆"
30,"abeyance","搁置"
31,"abhor","（尤指出于道德原因）憎恨"
32,"abhorrence","憎恨"
33,"abhorrent","令人憎恶的"
34,"abide","难以忍受"
35,"abide by","遵守"
36,"abiding","（情感、记忆、兴趣等）持久的"
37,"ability","能力"
38,"abject","凄惨的"
39,"abjure","发誓弃绝"
40,"ablaze","炽燃的"
41,"able","（因具有品质或技能）能做到…的"
42,"-able","（附在动词后构成形容词）表示“可…的”"
43,"able-bodied","体格健全的"
44,"ablutions","沐浴"
45,"ably","能干地"
46,"abnormal","反常的"
47,"abnormality","（尤指身体或行为上让人担忧或危险的）反常情况"
48,"aboard","在（船、飞机等）上"
49,"abode","住所"
50,"abolish","废除"
51,"abolition","（制度、习俗等的）废除"
52,"abolitionist","废除主义者"
53,"a-bomb","原子弹"
54,"abominable","可恶的"
55,"abomination","令人完全无法接受的事物"
56,"aboriginal","澳大利亚土著居民"
57,"aborigine","澳大利亚土著居民"
58,"abort","使流产"
59,"abortion","人工流产"
60,"abortionist","（通常指非法）为他人实施人流手术的人"
61,"abortive","（尝试或行动）失败的"
62,"abound","大量存在"
63,"about","关于"
64,"about-face","（态度或观点的）彻底改变"
65,"about-turn","同 about-face"
66,"above","在…上方"
67,"above-the-line promotion","大众传媒促销（不受产品或服务提供商直接控制的促销手段"
68,"abracadabra","（表演魔术时的用语）“变”"
69,"abrade","磨损"
70,"abrasion","（皮肤的）擦伤（处）"
71,"abrasive","（态度）粗鲁的"
72,"abreast","并排"
73,"abridged","节略的"
74,"abroad","到国外"
75,"abrogate","废除"
76,"abrupt","突然的"
77,"abs","同abdominals"
78,"abscess","脓肿"
79,"abscond","（从监狱等处）逃走"
80,"abseil","缘绳索滑下（峭壁、崖面等）"
81,"absence","不在"
82,"absent","不在的"
83,"absentee","（应到而未到的）不在者"
84,"absenteeism","（通常指无正当理由、经常性的）旷工"
85,"absentia","缺席"
86,"absentminded","漫不经心的"
87,"absent-minded","漫不经心的"
88,"absinthe","苦艾酒（一种烈酒"
89,"absolute","完全的"
90,"absolutely","完全地"
91,"absolute majority","绝对多数"
92,"absolute zero","绝对零度"
93,"absolution","赦免"
94,"absolutism","专制政体"
95,"absolve","免除…的过失"
96,"absorb","吸收（液体、气体等）"
97,"absorbed","极感兴趣的"
98,"absorbent","易吸收（液体）的"
99,"absorber",""
100,"absorbing","非常有趣的"
101,"absorption","(液体、气体等的）吸收"
102,"abstain","戒绝"
103,"abstemious","有节制的"
104,"abstention","（投票时之）弃权"
105,"abstinence","戒绝"
106,"abstract","抽象的"
107,"abstracted","出神的"
108,"abstraction","抽象概念"
109,"abstruse","（尤指故作）深奥的"
110,"absurd","荒谬的"
111,"absurdist","荒诞派的"
112,"abundance","大量"
113,"abundant","大量的"
114,"abundantly","充分地"
115,"abuse","虐待"
116,"abusive","虐待的"
117,"abut","邻接"
118,"abuzz","议论纷纷的"
119,"abysmal","极坏的"
120,"abyss","深渊"
121,"ac","交流电"
122,"acacia","金合欢（生长在温暖地区"
123,"academe","（大学的）学术界"
124,"academia","（某一国家或地区的）学术界"
125,"academic","教学的"
126,"academician","学会会员"
127,"academy","专科院校"
128,"accede","答应"
129,"accelerate","（使）加快"
130,"acceleration","加快"
131,"accelerator","（汽车等的）加速装置"
132,"accent","腔调"
133,"accented","带…腔调的"
134,"accentuate","强调"
135,"accept","接受"
136,"acceptable","（大多数人）认同的"
137,"acceptance","接受"
138,"accepted","为公众所接受的"
139,"access","进入（权）"
140,"access course","（为没有所需学历者而设的）高校入学补习课程"
141,"accessible","易到达的"
142,"accession","（君主、帝王的）登基"
143,"accessorize","（以配件、装饰品等）补充"
144,"accessory","附件"
145,"access road","通路"
146,"access time","存取时间"
147,"accident","交通事故"
148,"accidental","意外的"
149,"accident and emergency","（医院的）急诊科"
150,"accident-prone",""
151,"accident prone","易出事故的"
152,"acclaim","称赞"
153,"acclamation","欢呼"
154,"acclimatize","（使）适应"
155,"accolade","赞扬"
156,"accommodate","（有足够的空间）容纳"
157,"accommodating","乐于帮助的"
158,"accommodation","住处"
159,"accompaniment","伴奏"
160,"accompanist","（尤指钢琴）伴奏者"
161,"accompany","陪伴"
162,"accompli",""
163,"accomplice","共犯"
164,"accomplish","完成"
165,"accomplished","熟练的"
166,"accomplishment","成就"
167,"accord","（国家、团体之间的正式）协定"
168,"accordance","按照"
169,"accordingly","因此"
170,"according to","据…所说"
171,"accordion","手风琴"
172,"accost","（唐突地或带有威胁性地）走近跟…攀谈"
173,"account","（银行等的）账户"
174,"accountable","有责任的"
175,"accountancy","会计学"
176,"accountant","会计员"
177,"account for","（数量或比例上）占"
178,"accounting","会计"
179,"accoutrement","行李"
180,"accredit","鉴定…为合格"
181,"accretion","增加物"
182,"accrual","（利息的）自然累积"
183,"accrue","（使）（钱或利息）逐渐增加"
184,"accumulate","堆积"
185,"accumulation","堆积物"
186,"accumulative","积累而成的"
187,"accuracy","精确（性）"
188,"accurate","（信息、测量、数据或仪器等）精确的"
189,"accursed","（事物）可恶的"
190,"accusation","指控"
191,"accusative","宾格"
192,"accusatory","（眼神、话语、语气等）谴责的"
193,"accuse","指责"
194,"accused","被告"
195,"accuser","指责者"
196,"accusing","谴责的"
197,"accustom","使习惯（于）"
198,"accustomed","习惯的"
199,"ace","A纸牌"
200,"acerbic","（幽默）辛辣的"
201,"acerbity","辛辣、尖刻的幽默"
202,"acetate","醋酸纤维（素）"
203,"acetic acid","乙酸"
204,"acetone","丙酮"
205,"acetylene","乙炔"
206,"ache","（持续并较强烈地）疼痛"
207,"achievable","可达到的"
208,"achieve","（经努力）完成"
209,"achievement","成就"
210,"achiever","（学业或事业上）达到（特定程度）成就（或成绩）的人"
211,"achilles heel","阿喀琉斯的脚踵"
212,"achilles tendon","跟腱"
213,"achingly","（因得不到而）渴望地"
214,"achy","疼痛的"
215,"acid","酸"
216,"acid house","迷幻浩室音乐（一种节奏反复有力的电子舞曲）"
217,"acidic","（物质）含酸的"
218,"acid rain","酸雨"
219,"acid test","决定性的试验"
220,"acknowledge","承认（事实、局面等）"
221,"acknowledgement","（对事实、局面等的）承认"
222,"acknowledgment",""
223,"acme","最高点"
224,"acne","痤疮"
